County,Population_Density
Baringo,50.44
Bomet,293.04
Bungoma,453.49
Busia,438.9
Elgeyo-Marakwet,122.12
Embu,183.18
Garissa,14.1
Homa Bay,302.77
Isiolo,5.66
Kajiado,31.38
Kakamega,544.26
Kericho,305.91
Kiambu,638.23
Kilifi,88.01
Kirinyaga,357.01
Kisii,874.58
Kisumu,464.5
Kitui,33.21
Kwale,78.59
Laikipia,42.19
Lamu,16.19
Machakos,176.96
Makueni,110.45
Mandera,39.47
Marsabit,4.1
Meru,195.54
Migori,353.24
Mombasa,4292.09
Murang'A,368.37
Nairobi,4514.96
Nakuru,213.92
Nandi,261.07
Narok,47.45
Nyamira,665.22
Nyandarua,183.74
Nyeri,207.83
Samburu,10.65
Siaya,332.88
Taita-Taveta,16.66
Tana River,6.25
Tharaka Nithi,138.44
Trans-Nzoia,328.09
Turkana,12.45
Uasin Gishu,267.3
Vihiga,1044.68
Wajir,11.68
West Pokot,55.91
Kenya,66.42
