Sub-County3/Sex1,Total,Working,Seeking Work/No Work Available,Persons outside the Labour Force2,Not Stated
KENYA,28451359,13873424,1283497,13289275,5163
Male,14034674,6625973,792679,6613473,2549
Female,14415969,7247112,490761,6675484,2612
Intersex,716,339,57,318,2
KWALE,621486,288030,32067,301241,148
Male,302543,132992,20550,148922,79
Female,318933,155033,11515,152316,69
KINANGO,72650,35445,1719,35470,16
Male,34727,15427,1122,18170,8
Female,37922,20018,597,17299,8
LUNGA LUNGA,164358,79782,7353,77213,10
Male,80111,36968,4323,38814,6
Female,84246,42813,3030,38399,4
MATUGA,157987,69633,10736,77578,40
Male,77607,33218,7120,37246,23
Female,80378,36415,3615,40331,17
MSAMBWENI,71762,33603,4872,33273,14
Male,36413,17166,3366,15872,9
Female,35349,16437,1506,17401,5
SAMBURU,154729,69567,7387,77707,68
Male,73685,30213,4619,38820,33
Female,81038,39350,2767,38886,35
KILIFI,902310,393185,41057,467928,140
Male,432334,173390,26031,232844,69
Female,469962,219789,15026,235077,70
CHONYI,53618,24009,1298,28311,-
Male,25089,9781,835,14473,-
Female,28528,14228,463,13837,-
GANZE,120081,51179,3989,64877,36
Male,55059,19869,2441,32735,14
Female,65019,31309,1548,32140,22
KALOLENI,134603,59543,5753,69255,52
Male,63449,25285,3810,34331,23
Female,71149,34257,1943,34921,28
KAUMA,19582,7548,1286,10748,-
Male,9464,3183,809,5472,-
Female,10118,4365,477,5276,-
KILIFI NORTH,89199,41329,3267,44603,-
Male,43330,18806,2205,22319,-
Female,45868,22523,1062,22283,-
KILIFI SOUTH,88348,37173,5513,45658,4
Male,43693,18165,3659,21867,2
Female,44655,19008,1854,23791,2
MAGARINI,146592,64036,4733,77818,5
Male,70832,28593,3206,39029,4
Female,75760,35443,1527,38789,1
MALINDI,156098,68764,8325,78972,37
Male,76029,31695,4776,39535,23
Female,80065,37065,3549,39437,14
RABAI,94189,39604,6893,47686,6
Male,45389,18013,4290,23083,3
Female,48800,21591,2603,24603,3
TANA RIVER,197612,99002,14851,83663,96
Male,98583,49075,9002,40462,44
Female,99028,49927,5848,43201,52
TANA DELTA,83462,41466,4800,37164,32
Male,41868,20944,2942,17971,11
Female,41594,20522,1858,19193,21
TANA NORTH,58831,29604,6566,22639,22
Male,29657,14608,3829,11206,14
Female,29173,14996,2736,11433,8
TANA RIVER,55319,27932,3485,23860,42
