Entity,Name
NGO,ACOLEX
NGO,ADAWATER NGO (ADAWATER)
NGO,AIDS African
NGO,AIDS Alliance in Nigeria
NGO,AIDS Awareness Society (AAS)
NGO,AIDS Care Managers
NGO,AIDS Must Go Group
NGO,AIDS and Pregnancy Prevention for Adolescents (APPA-IAM Pregnant)
NGO,AIDSLLINE International
NGO,AIESEC Nigeria
NGO,AJ's Playgroup Foundation
NGO,ANTI-Child Abuse Society of Africa (ACASA)
NGO,Abia North Industrial Development Initiative
NGO,Able Reading Group
NGO,Abraham Adesanya Foundation
NGO,Abraham's Children Foundation (ACF)
NGO,Abuja Children and Youth International Association of Nigeria (ACYIAN)
NGO,Abuja Metro Junior Chamber
NGO,Academic Associate Peace Work
NGO,Access Community Health and Development Organisation (ACHDO) - Formerly Mother and Child
NGO,Ace Development Initiatives
NGO,Achievers Development Centre
NGO,Achievers' Multipurpose Cooperative Society
NGO,Action Aid Nigeria
NGO,Action Family Foundation
NGO,Action Health Incorporated (AHI)
NGO,Action for Nigeria Integrity and Protection Network
NGO,Acts Generation- Women Empowerment and Gender Equality (ACTS Generation-GBO)
NGO,Addiction Reformation Commission International (ADRECOM)
NGO,Adenike Charity Foundation
NGO,Adolescent Health and Information Projects (AHIP)
NGO,Adonai Job Centre (Adonia Foundation)
NGO,Adventist Development and Relief Agency (ADRA)
NGO,Adventist Women's Ministries
NGO,Advocacy Committee Against Hunger (ACAH)
NGO,Advocacy for Widows Empowerment Foundation (ADwef)
NGO,Advocacy for the Support of Prisoners and Indigents Rights (ASPIR)
CSO,Advocate Youth Initiative
CSO,Advocates for Human Rights and Justice Development
NGO,Afican Youths For Transparency (AYFS)
NGO,Africa Alert Foundation
NGO,Africa Alive Nigeria (AA!)
NGO,Africa Heritage Institution (AHI)
NGO,Africa Hope Alive Initiative
NGO,Africa Middle East Progressive Initiative (AMEP-INITIATIVE)
NGO,Africa Millennium Global Care
NGO,Africa Neighbourhood Empowerment Society (ANES)
NGO,Africa Youths International Development Foundation
NGO,Africal Alive Nigeria (AAN)
NGO,African Association of Health/Disease
NGO,African Business Round Table
NGO,African Center for Rural Development and Environment (ACERDEN)
NGO,African Centre for Democratic Governance
NGO,African Centre for Development Research
NGO,African Childhood Care Network
NGO,African Children Broadcasting Network (ACBN)
NGO,African Children Renaissance Initiative
NGO,African Citizens Development Foundation (ACDF)
NGO,African Concern
NGO,African Development Foundation
NGO,African Development Initiative For poverty Alleviation
NGO,African Development Network (ADNET)
NGO,African Enterprises Foundation
NGO,African Foundation for Development of Infrastructure and Social Services in Rural Communities
NGO,African Foundation for Education & Development
NGO,African Foundation for Peace and Love Initiatives (AFPLI)
NGO,African Girls Empowerment (AGE)
NGO,African Harvest Mission
NGO,African Health Project
NGO,African Hope Organisation (AHO)
NGO,African Initiative for Development Evaluation
NGO,African Institute for Strategic Studies (AISS)
NGO,African Leadership Forum
NGO,African Leadership Foundation (ALF)
NGO,African Liberation Support Campaign Network (ALISC-NETWORK)
NGO,African Liberty and Hope initiative (ALHI)
NGO,African Network for the Prevention and Protection Against Child Abuse and Neglect Nigerian (ANPPCAN)
NGO,African Refugee Foundation (AREF)
NGO,African Renaissance Foundation for Arts & Culture
NGO,African Strategic & Research Group (AFSTRAG)
NGO,African Underprivileged Children's Foundation (AUCH)
NGO,African Women Cooperative Initiative
NGO,African Women Development Network
NGO,African Women Empowerment Guild (AWEG)
NGO,African Women Lawyers Association (AWLA) Nigeria
NGO,African kingdoms Travel Club
NGO,African leprosy Resettlement Trust Nigeria (ALERT-F)
NGO,African youths International Dev. Foundation
NGO,Africommunity Technology Development Center
NGO,"Afro Center for Development, peace and Justice (AFRODEP)"
NGO,Afro Foundation
NGO,Agape Foundation for Literacy and Rural Development. (AFLARD)
NGO,Agape Women Aglow International
NGO,Agatha Obiageli Aghedo Memorial Foundation
NGO,"Agbe-Loba CMS Ltd., Ado-Ekiti"
NGO,AgeCare Foundation
NGO,Agency for Eradication of Street Begging Among the Disabled Youth(AFESBAD)
NGO,Agenda for Good Governance
NGO,Agent for Empowerment & Sustainability Initiative
NGO,Agents of Communication and Development (A-CODE)
NGO,Agwagune Women Development Association
NGO,Air Transport Services Senior Staff Association
NGO,Ajegunle Community Partners for Health (AJCPH)
NGO,Ajegunle Community Project
NGO,Ajoke Ayisat Afolabi Foundation
NGO,Akadis Medicare
NGO,Akassa Community Development Programme
NGO,Akpabuyo Bakassi Green Movement (ABGREMO)
NGO,"Akwaalink Foundry Development, Research and Training Centre"
NGO,Akwamfon Sustainable Community Association
NGO,Albert Caayo Foundation
NGO,Alcohol Prevention Youth Initiative
NGO,Alheri Women Multi-Purpose Development Association (ALCO)
NGO,All-Nigeria United Nations Students and Youth Association(ANUNSA)
NGO,Alliance for Community Health and Environment (ACHE)
CSO,Alliance for Credible Elections
NGO,Alliance for Rural Development of Nigeria (ARDN)
NGO,Ama Dialog Foundation (ADF)
NGO,Amacks Children Develompment Organisation
NGO,Amaka Chiwuike-Uba Foundation (ACUF)
NGO,Ameen Literacy Foundation (ALIF)
NGO,America Speaks
NGO,Amnesty International Nigeria
NGO,Amputee Association of Nigeria
NGO,Amsha Africa Foundation
NGO,Amukoko Community Partners for Health (AMCPH)
NGO,Anambra State Women's Association
NGO,Ane Osiobe International Foundation (AneOsiobe)
NGO,Angels Discovery Circles Initiative
NGO,Anglican Communion Women's Organisation
NGO,Anglican Diocesan Development Services (ADDS)
NGO,Anitah and Delights
NGO,Annabelles - We Care
NGO,Anpez Centre for Environment and Development
NGO,Anti AIDS Youth Club (AYC)
NGO,Anti Corruption & Fraud organisation of Nigeria
NGO,Anti-AIDS Society of Nigeria (AASON)
NGO,Apiworld International
NGO,Aqumamu Lioness Club
NGO,Arikoserere Philanthropic Foundation (APF)
NGO,Arise Nigerian Woman Foundation
NGO,Arms of Comfort
NGO,Asabe Shehu Yar'Adua Foundation
NGO,Aseke Obaro Global Organisation (MR)
NGO,Ashli Foundation for Education Healthcare Welfare and Social Justice (ASHLIF)
NGO,Aspilos Charity and Development Foundation
NGO,Associated Country Women of the World
NGO,Associatio of Professional Women Accountant of Nig.
NGO,Association for Adolescent Reproductive Health and Action (AARHA)
NGO,Association for Child Health (ACH)
NGO,Association for Community Development and Human Technology
NGO,Association for Community and Economic Development
NGO,Association for Democratic Citizens
NGO,Association for Grassroots Development (AGD)
NGO,Association for Reproductive and Family Health (ARFH)
NGO,Association for Rural Development (ASRUDE)
NGO,Association for Women Improvement in the south South
NGO,Association for Youth Documentation and Information
NGO,Association for the Study of Childhood and Adolescence (ASCA)
NGO,Association of Black & Asian Women International (ABAWI)
NGO,Association of Concerned Other (ASCO)
NGO,Association of General and Private Medical Practitioners of Nigeria (AGPMPN)
NGO,Association of Grassroots Counsellors on Dreaded Diseases
NGO,Association of Lady Pharmacist
NGO,Association of NGOs and CSOS of Nigeria
NGO,Association of Nigeria (ACYIAN)
NGO,"Association of Nigeria Market Women, Osun State Branch"
NGO,Association of Nigeria Youth in Politics
NGO,Association of Professional Engineers
NGO,Association of Reproductive & Family Health
NGO,Association of Senior Civil Servants of Nigeria
NGO,Association of United Patriots of Development (AUPD)
NGO,Association of Women Farmers of Nigeria
NGO,Association of Women Professional Financial Managers (AWPFM)
NGO,Atakpa Lions Club
NGO,Atlantic communication Systems
NGO,Awareness in Nigeria
NGO,Axum Insitute
NGO,BKEO Love Foundation
NGO,Back to Self Rehabilitation Initiative (BTS)
NGO,Badawa Community Partners for Health
NGO,Balga United Women Association (BUWA)
NGO,Banaa (Mothers) Development Association
NGO,Bank to School Foundation (BSF)
NGO,Baobab for Women's Human Rights (BWHR)
NGO,Beachland Feminine Club
NGO,Beacon of Hope Outreach Ministry
NGO,Benedict Ekanem Foundation
NGO,Bengore Association Ltd
NGO,Berahah Foundation
NGO,Best Foundation Community Child Education
