County/ Sub- County,Total,"Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private
company","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open ",Buried,"Compost
pit","Burnt in
a pit","Not
Stated"
KENYA,"12,043,016",6.3,6.9,8.8,8.4,2.4,3.6,27.1,3.2,18.4,14.9,0.0
Rural,"7,379,282",0.7,0.1,0.7,11.7,1.1,4.3,33.7,4.8,25.1,17.9,0.0
Urban,"4,663,734",15.3,17.5,21.8,3.2,4.4,2.5,16.5,0.8,7.8,10.1,0.0
MOMBASA,"376,295",5.6,36.7,19.5,3.9,5.2,2.6,16.1,0.6,4.9,4.9,0.0
CHANGAMWE,"46,439",6.8,50.4,14.6,3.2,6.6,2.2,9.5,0.5,3.2,3.1,0.0
JOMVU,"53,214",2.5,27.8,8.4,5.1,6.6,1.3,27.7,0.8,10.4,9.3,0.0
KISAUNI,"88,159",4.0,28.7,17.3,4.9,5.5,2.7,23.6,0.7,4.7,8.0,0.0
LIKONI,"80,002",6.3,47.3,8.0,3.6,2.9,3.8,17.8,0.8,5.2,4.4,0.0
MVITA,"38,710",13.7,30.4,37.6,3.0,6.8,1.8,3.4,0.2,1.6,1.4,0.1
NYALI,"69,771",4.1,36.0,36.8,3.2,4.4,3.0,7.1,0.5,3.4,1.5,0.0
KWALE,"172,802",5.2,1.1,1.2,20.9,2.0,4.4,33.2,2.7,12.4,16.7,0.0
KINANGO,"16,041",0.2,0.0,0.1,36.3,2.2,3.1,29.7,1.9,15.8,10.6,0.0
LUNGALUNGA,"37,276",0.9,0.1,0.4,22.7,2.4,8.2,33.1,5.1,14.0,13.2,0.0
MATUGA,"39,124",2.0,0.3,0.1,22.1,0.9,3.6,32.5,1.6,14.0,23.1,0.0
MSAMBWENI,"45,374",16.8,3.9,3.6,9.9,1.8,2.0,37.0,1.3,9.6,14.1,0.0
SAMBURU,"34,987",0.6,0.2,0.7,24.8,3.0,5.3,31.0,3.7,11.0,19.6,0.1
KILIFI,"297,990",6.2,2.8,3.9,11.5,1.9,4.7,34.8,2.7,12.0,19.4,0.0
CHONYI,"11,416",0.0,-,0.0,22.2,1.3,6.3,35.4,1.4,17.7,15.7,-
GANZE,"23,197",0.3,0.0,0.0,21.8,0.6,4.5,33.2,3.8,13.1,22.5,0.1
KALOLENI,"36,344",3.2,0.4,0.8,12.9,1.5,6.8,37.5,4.0,13.5,19.4,0.0
KAUMA,"3,479",0.1,0.0,0.2,13.3,2.1,7.0,41.0,3.7,14.2,18.5,-
KILIFI NORTH,"39,508",12.7,2.7,2.2,9.6,1.4,3.8,35.3,1.7,10.4,20.4,0.0
KILIFI SOUTH,"53,011",7.3,7.3,12.7,6.5,1.8,2.6,36.2,1.0,9.0,15.7,0.0
MAGARINI,"32,978",1.1,0.1,0.2,17.5,1.6,4.7,37.0,5.3,16.0,16.5,0.0
MALINDI,"73,317",9.4,4.6,4.7,8.4,3.2,4.8,34.7,2.7,9.7,17.8,0.0
RABAI,"24,740",4.5,0.2,0.9,9.8,1.9,6.7,24.5,1.8,15.8,33.8,0.0
TANA RIVER,"66,984",0.7,0.5,0.6,10.5,2.6,4.6,49.4,9.8,7.5,13.6,0.1
TANA DELTA,"22,395",0.1,0.1,0.1,12.2,3.0,2.8,51.9,9.2,9.4,11.3,0.0
TANA NORTH,"26,119",1.5,0.6,1.0,10.1,2.1,7.2,46.8,13.8,4.9,11.9,0.0
TANA RIVER,"18,470",0.5,0.8,0.7,9.2,2.8,2.9,50.2,4.9,8.8,19.0,0.1
LAMU,"34,231",3.8,2.0,1.3,16.0,6.4,4.5,38.9,3.3,9.7,14.0,0.0
LAMU EAST,"4,476",8.5,1.0,0.1,16.1,14.1,8.6,32.8,1.0,9.7,8.2,-
LAMU WEST,"29,755",3.1,2.2,1.5,16.0,5.3,3.9,39.8,3.7,9.7,14.8,0.0
TAITA/TAVETA,"94,468",5.9,0.6,0.9,9.6,1.0,3.7,26.1,1.4,13.0,37.7,0.0
MWATATE,"23,184",1.0,0.0,0.5,13.0,0.3,3.1,16.1,1.2,19.2,45.5,0.0
TAITA,"14,985",2.2,0.0,0.3,17.6,0.2,1.8,18.8,2.5,24.9,31.6,0.0
TAVETA,"23,417",5.1,0.4,1.0,6.3,0.7,5.9,33.8,1.8,6.4,38.6,0.0
VOI,"32,882",11.7,1.5,1.3,5.9,2.3,3.4,31.0,0.7,7.8,34.4,0.0
GARISSA,"138,940",6.1,1.0,3.5,8.1,1.6,10.0,45.6,11.4,5.3,7.3,0.0
BALAMBALA,"3,986",2.4,0.8,2.4,8.6,0.7,5.0,44.9,22.3,5.6,7.4,-
DADAAB,"35,169",2.9,0.6,3.1,8.0,1.2,15.2,43.0,15.6,3.8,6.6,0.0
