County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
Kenya,12043016,56.9,8.8,40.7,4.7,17.9,15,9.2,8.8,6.3,0.9,0.5
Rural,7379282,58.5,3,26.9,3.4,6.9,15.6,10.8,2.4,3.5,0.7,0.4
Urban,4663734,54.4,18,62.5,6.7,35.4,13.9,6.7,19.1,10.8,1.2,0.7
MOMBASA,376295,47.4,13,57.2,7.1,28.2,12.1,5.5,22,6.8,0.9,1.5
CHANGAMWE,46439,51.6,9.6,59.2,6.8,24.8,10.1,4.9,14.4,3.9,0.8,1.1
JOMVU,53214,49.4,9,53.5,5.8,22.3,8.6,5.3,14,4.2,0.7,0.8
KISAUNI,88159,49.5,12.5,55.4,7.1,26.1,12.8,6.9,20.9,5.9,0.7,1.5
LIKONI,80002,42.8,7.1,51.3,7,18.7,11.5,5.4,11.7,2.2,0.5,1.4
MVITA,38710,36.9,27.6,69.5,8.6,55.1,14.9,3.6,58.1,19,1.8,2.9
NYALI,69771,51.6,17.6,61,7.2,33.8,14.5,5.8,26.3,10.6,1.1,1.5
KWALE,172802,42.6,4.3,23.1,3.2,9.8,19,10.6,6.2,2.3,0.5,0.7
KINANGO,16041,38.1,2.1,10.6,1.4,4.5,17.6,12,1.5,1.1,0.4,0.3
LUNGALUNGA,37276,38.8,1.7,11.7,2.1,3.7,25.9,11.4,2.2,1.3,0.4,0.4
MATUGA,39124,48,4.4,24.4,3.1,10.3,16.4,11.2,6.2,2.7,0.5,0.6
MSAMBWENI,45374,47,8.5,39.6,5.6,19.8,20.1,9.2,13.8,3.9,0.5,1.3
SAMBURU,34987,37.2,2.4,18.3,2.4,5.3,14,10.2,3,1.3,0.4,0.4
KILIFI,297990,37.8,5.5,25.9,2.9,11.6,15.3,10.4,8.1,2.8,0.5,0.9
CHONYI,11416,31.3,1.2,8.3,0.9,1.5,8.6,8.9,0.9,0.9,0.3,0.3
GANZE,23197,31,1.4,8.5,0.9,3.3,19.8,10.7,0.9,1,0.4,0.4
KALOLENI,36344,39.5,4,24.3,2.3,7.4,10.2,7.6,5.5,2.2,0.4,0.5
KAUMA,3479,27.5,1.1,7,0.9,3,9.3,8.9,0.8,0.9,0.4,0.8
KILIFI NORTH,39508,38.1,9.5,29.1,3.9,18.1,17.4,12.6,10.5,4.3,0.7,1.1
KILIFI SOUTH,53011,42.4,7.7,36.3,3.8,16,12.6,8.1,12.9,4,0.5,0.7
MAGARINI,32978,30.8,1.7,12.8,1.4,3.3,15.9,10.5,2.7,1,0.4,0.6
MALINDI,73317,39.4,7.4,32.6,4,17.1,20.8,13.7,12.2,3.7,0.6,1.6
RABAI,24740,40.5,3.2,25.7,2.7,6.7,7.7,6.1,4.2,1.7,0.5,0.4
TANA RIVER,66984,28.4,2.7,15.3,2.3,5.5,9.6,9.7,3.7,1.6,0.4,0.5
TANA DELTA,22395,26.5,2.2,12.9,2.1,5.1,10,9.6,2.7,1,0.3,0.6
TANA NORTH,26119,27.8,1.8,15,2,4,5.4,6.9,3.5,1.8,0.4,0.4
TANA RIVER,18470,31.6,4.6,18.6,2.9,8.2,14.8,13.8,5.2,2,0.5,0.4
LAMU,34231,37.3,4.2,30.8,3.7,11.8,28.5,15.7,8.6,1.4,0.4,0.4
LAMU EAST,4476,26.8,2.3,28.7,3,4.6,4.5,5.5,10,0.6,0.3,0.2
LAMU WEST,29755,38.9,4.5,31.1,3.8,12.8,32.1,17.2,8.4,1.5,0.5,0.5
TAITA/TAVETA,94468,55.9,6.3,38.6,4.5,15.9,18.6,15.2,6.7,3.5,0.7,0.5
MWATATE,23184,62.4,4.6,33.9,3.6,11.7,18.9,13.9,4.3,2.7,0.6,0.3
TAITA,14985,68.8,5,35.1,4.1,10.2,5,10,3.1,3,0.7,0.4
TAVETA,23417,61.2,4.6,38.3,4.7,12.3,33.1,24.2,6.4,3.1,0.8,0.4
VOI,32882,41.7,9.3,43.6,5.1,23.9,14.1,12.2,10.2,4.7,0.8,0.9
GARISSA,138940,47.8,2.6,12.9,2.2,6.3,3.5,3.2,6,4.1,1.4,2.3
BALAMBALA,3986,50.8,3.4,8.6,3.7,5,4.1,4.1,1.8,4.3,3,3.5
DADAAB,35169,48.5,1.9,5.8,2.1,3.7,2.7,2.3,1.4,3.1,1.4,2.1
FAFI,23351,41.1,1.4,5.4,1.3,2.8,1.5,1.4,1,2,1,1.3
GARISSA,29790,41.6,5.7,38.8,4,15.3,4.7,4.1,22.4,7.1,1.4,3
HULUGHO,20078,64.5,1.6,2.7,1.3,3.3,3.9,3.6,0.5,5.3,2,2.4
IJARA,18296,43.1,2,9.9,1.8,6.4,5.6,5.1,4.2,3.5,1.2,3.1
LAGDERA,8270,54,1.3,3.3,1.1,2.4,1.8,2.6,1,2.2,0.9,1.5
WAJIR,126878,54.2,1.4,6.6,1.2,3.5,2.2,3.1,2.4,2.5,0.8,2.1
BUNA,6480,38.2,0.7,2.6,0.8,2.4,2.7,4.4,0.4,0.9,0.6,1.1
ELDAS,13862,66.9,1.9,7.2,2,3.8,4.5,7.5,1.3,4.6,1.7,4.6
HABASWEIN,31113,53.2,1.4,5.9,1.3,3.3,1.8,1.1,2.9,2.6,0.7,1.1
TARBAJ,9241,51.6,0.8,1.9,0.7,1.4,1.9,4.8,0.2,1.3,0.6,3.4
WAJIR EAST,18282,58.2,3.3,19.9,2.2,7.7,2.9,3,8.3,4.9,1.2,3.5
