Region,Cereals (Production),Non Cereals Production
Arusha,334326,183642
Pwani,93487,267760
Dar es Salaam,1837,48281
Dodoma,444451,156763
Iringa,265974,194857
Njombe,331527,126462
Kagera,172524,894456
Kigoma,463168,670951
Kilimanjaro,193880,267725
Lindi,152940,122446
Manyara,396032,167537
Mara,284814,242731
Mbeya,692654,418719
Songwe,503505,262891
Morogoro,632575,245116
Mtwara,71815,358922
Mwanza,191619,635635
Geita,325493,313809
Rukwa,486079,368389
Katavi,275117,125547
Ruvuma,780337,352183
Shinyanga,211800,223111
Simiyu,384628,175567
Singida,394674,81293
Tabora,498122,224986
Tanga,424532,270621
