,Sub-County3/Sex1,Total,Working,Seeking Work/No Work Available,Persons outside the Labour Force2,Not Stated
0,KENYA,28451359,13873424,1283497,13289275,5163
1,Male,14034674,6625973,792679,6613473,2549
2,Female,14415969,7247112,490761,6675484,2612
3,Intersex,716,339,57,318,2
4,KWALE,621486,288030,32067,301241,148
5,Male,302543,132992,20550,148922,79
6,Female,318933,155033,11515,152316,69
7,KINANGO,72650,35445,1719,35470,16
8,Male,34727,15427,1122,18170,8
9,Female,37922,20018,597,17299,8
10,LUNGA LUNGA,164358,79782,7353,77213,10
11,Male,80111,36968,4323,38814,6
12,Female,84246,42813,3030,38399,4
13,MATUGA,157987,69633,10736,77578,40
14,Male,77607,33218,7120,37246,23
15,Female,80378,36415,3615,40331,17
16,MSAMBWENI,71762,33603,4872,33273,14
17,Male,36413,17166,3366,15872,9
18,Female,35349,16437,1506,17401,5
19,SAMBURU,154729,69567,7387,77707,68
20,Male,73685,30213,4619,38820,33
21,Female,81038,39350,2767,38886,35
22,KILIFI,902310,393185,41057,467928,140
23,Male,432334,173390,26031,232844,69
24,Female,469962,219789,15026,235077,70
25,CHONYI,53618,24009,1298,28311,-
26,Male,25089,9781,835,14473,-
27,Female,28528,14228,463,13837,-
28,GANZE,120081,51179,3989,64877,36
29,Male,55059,19869,2441,32735,14
30,Female,65019,31309,1548,32140,22
31,KALOLENI,134603,59543,5753,69255,52
32,Male,63449,25285,3810,34331,23
33,Female,71149,34257,1943,34921,28
34,KAUMA,19582,7548,1286,10748,-
35,Male,9464,3183,809,5472,-
36,Female,10118,4365,477,5276,-
37,KILIFI NORTH,89199,41329,3267,44603,-
38,Male,43330,18806,2205,22319,-
39,Female,45868,22523,1062,22283,-
40,KILIFI SOUTH,88348,37173,5513,45658,4
41,Male,43693,18165,3659,21867,2
42,Female,44655,19008,1854,23791,2
43,MAGARINI,146592,64036,4733,77818,5
44,Male,70832,28593,3206,39029,4
45,Female,75760,35443,1527,38789,1
46,MALINDI,156098,68764,8325,78972,37
47,Male,76029,31695,4776,39535,23
48,Female,80065,37065,3549,39437,14
49,RABAI,94189,39604,6893,47686,6
50,Male,45389,18013,4290,23083,3
51,Female,48800,21591,2603,24603,3
52,TANA RIVER,197612,99002,14851,83663,96
53,Male,98583,49075,9002,40462,44
54,Female,99028,49927,5848,43201,52
55,TANA DELTA,83462,41466,4800,37164,32
56,Male,41868,20944,2942,17971,11
57,Female,41594,20522,1858,19193,21
58,TANA NORTH,58831,29604,6566,22639,22
59,Male,29657,14608,3829,11206,14
60,Female,29173,14996,2736,11433,8
61,TANA RIVER,55319,27932,3485,23860,42
62,Male,27058,13523,2231,11285,19
63,Female,28261,14409,1254,12575,23
64,LAMU,90801,47441,3914,39419,27
65,Male,48862,26906,2833,19109,14
66,Female,41937,20535,1081,20308,13
67,LAMU EAST,16905,7758,975,8172,-
68,Male,8887,4716,693,3478,-
69,Female,8018,3042,282,4694,-
70,LAMU WEST,73896,39683,2939,31247,27
71,Male,39975,22190,2140,15631,14
72,Female,33919,17493,799,15614,13
73,TAITA/TAVETA,217801,123034,8714,86000,53
74,Male,111529,62838,6265,42402,24
75,Female,106270,60195,2449,43597,29
76,MWATATE,64231,36168,2438,25619,6
77,Male,32881,18519,1822,12536,4
78,Female,31348,17648,616,13082,2
79,TAITA,46393,27153,1622,17616,2
80,Male,23495,13597,1164,8734,-
81,Female,22898,13556,458,8882,2
82,TAVETA,59842,33739,2010,24072,21
83,Male,31360,18118,1334,11900,8
84,Female,28482,15621,676,12172,13
85,VOI,47335,25974,2644,18693,24
86,Male,23793,12604,1945,9232,12
87,Female,23542,13370,699,9461,12
88,GARISSA,545401,225021,121777,198510,93
89,Male,305068,126756,72853,105397,62
90,Female,240310,98256,48919,93104,31
91,BALAMBALA,29652,13638,7134,8880,-
92,Male,18691,8407,5033,5251,-
93,Female,10960,5231,2100,3629,-
94,DADAAB,150636,46682,45512,58390,52
95,Male,80458,25703,25419,29298,38
96,Female,70172,20978,20091,29089,14
97,FAFI,109508,31941,31236,46308,23
98,Male,59473,18099,18276,23084,14
99,Female,50027,13839,12959,23220,9
100,GARISSA,26310,11468,3869,10962,11
101,Male,14619,6276,2588,5749,6
102,Female,11691,5192,1281,5213,5
103,HULUGHO,115667,65864,14981,34815,7
104,Male,68479,37955,9809,20711,4
105,Female,47184,27906,5172,14103,3
106,IJARA,74595,33440,13158,27997,-
107,Male,43510,19056,8329,16125,-
108,Female,31082,14383,4828,11871,-
