,Age,Male,Female,Intersex,Total
0,Total,7352137,7478880,683,14831700
1,0,189394,187086,20,376500
2,1,189211,185960,12,375183
3,2,184420,182751,15,367186
4,3,179986,180051,9,360046
5,4,173695,171659,8,345362
6,0 - 4,916706,907507,64,1824277
7,5,164569,163044,7,327620
8,6,161668,164427,9,326104
9,7,159085,159146,8,318239
10,8,153408,155735,9,309152
11,9,155445,158668,11,314124
12,05 . 09,794175,801020,44,1595239
13,10,161128,161037,8,322173
14,11,135465,142539,10,278014
15,12,152684,154434,11,307129
16,13,145748,153168,10,298926
17,14,137009,142351,12,279372
18,Oct-14,732034,753529,51,1485614
19,15,130194,138346,11,268551
20,16,123986,136439,7,260432
21,17,132025,142869,9,274903
22,18,116659,133803,13,250475
23,19,133061,162585,16,295662
24,15-19,635925,714042,56,1350023
25,20,143883,186284,17,330184
26,21,146911,181648,26,328585
27,22,157477,194973,15,352465
28,23,175801,213950,32,389783
29,24,174748,202155,23,376926
30,20-24,798820,979010,113,1777943
31,25,194697,211888,34,406619
32,26,166474,185398,16,351888
33,27,170856,180315,16,351187
34,28,148444,160608,9,309061
35,29,156799,163142,21,319962
36,25-29,837270,901351,96,1738717
37,30,194862,203639,40,398541
38,31,130479,129065,22,259566
39,32,164914,166777,15,331706
40,33,127894,131097,7,258998
41,34,121950,122076,15,244041
42,30-34,740099,752654,99,1492852
43,35,151622,141247,15,292884
44,36,107662,102890,13,210565
45,37,105272,95671,13,200956
46,38,91553,86932,8,178493
47,39,94176,85261,6,179443
48,35-39,550285,512001,55,1062341
49,40,118519,102184,10,220713
50,41,92142,78947,7,171096
51,42,89000,75030,4,164034
52,43,73709,64649,3,138361
53,44,60268,52513,2,112783
54,40-44,433638,373323,26,806987
55,45,91592,73636,5,165233
56,46,61499,50817,3,112319
57,47,64542,50955,4,115501
58,48,48140,39198,6,87344
59,49,52902,41234,2,94138
60,45-49,318675,255840,20,574535
61,50,63491,52634,19,116144
62,51,42722,33397,4,76123
63,52,42998,34069,2,77069
64,53,31529,26186,-,57715
65,54,36465,28267,3,64735
66,50-54,217205,174553,28,391786
67,55,36596,27532,-,64128
68,56,35191,28803,3,63997
69,57,30393,27042,1,57436
70,58,24737,20880,2,45619
71,59,26931,22545,4,49480
72,55-59,153848,126802,10,280660
73,60,29522,26875,2,56399
74,61,19368,17128,-,36496
75,62,17472,14489,-,31961
76,63,15289,13521,5,28815
77,64,11830,10261,-,22091
78,60-64,93481,82274,7,175762
79,65,16092,15027,2,31121
80,66,10036,9564,1,19601
81,67,14264,12976,1,27241
82,68,7561,6716,-,14277
83,69,9809,9722,1,19532
84,65-69,57762,54005,5,111772
85,70,12665,14460,-,27125
86,71,7527,7898,2,15427
87,72,6975,6360,-,13335
88,73,5443,5143,-,10586
89,74,4988,5397,-,10385
90,70-74,37598,39258,2,76858
91,75,4519,5684,1,10204
92,76,3680,5001,-,8681
93,77,3268,3967,-,7235
94,78,2488,2521,-,5009
95,79,2551,3820,-,6371
96,75-79,16506,20993,1,37500
97,80,3500,5911,-,9411
98,81,1650,2709,2,4361
99,82,1702,2038,-,3740
100,83,1681,2163,-,3844
101,84,1383,2254,1,3638
102,80-84,9916,15075,3,24994
103,85,1371,2171,-,3542
104,86,979,1491,-,2470
105,87,975,1554,-,2529
106,88,566,818,-,1384
107,89,905,1920,-,2825
108,85-89,4796,7954,-,12750
109,90,670,1675,-,2345
110,91,441,915,-,1356
111,92,326,557,-,883
112,93,257,456,-,713
113,94,208,478,-,686
114,90-94,1902,4081,-,5983
115,95,296,726,-,1022
116,96,166,385,-,551
117,97,197,375,-,572
118,98,110,246,-,356
119,99,151,460,-,611
120,95-99,920,2192,-,3112
121,100+,381,1268,-,1649
122,Not Stated,195,148,3,346
