,Unnamed: 0,Total,Notified,Not Notified,Don't Know,Not Stated,Per Cent Notified
0,KENYA,1340468,1212142,125714,2609,3,90
1,RURAL,888039,777343,108563,2131,2,87
2,URBAN,452429,434799,17151,478,1,96
3,MOMBASA,37249,35201,2026,22,-,94
4,KWALE,29226,26455,2719,52,-,90
5,KILIFI,44519,41950,2509,60,-,94
6,TANA RIVER,11683,8541,3106,36,-,73
7,LAMU,4235,3909,324,2,-,92
8,TAITA/TAVETA,9110,8674,435,1,-,95
9,GARISSA,16414,12198,3986,230,-,74
10,WAJIR,16767,10777,5921,69,-,64
11,MANDERA,26639,17395,9027,217,-,65
12,MARSABIT,13679,9971,3679,29,-,72
13,ISIOLO,8037,6518,1496,23,-,81
14,MERU,38222,36649,1532,41,-,95
15,THARAKA-NITHI,9109,8681,417,11,-,95
16,EMBU,14556,14206,345,5,-,97
17,KITUI,27650,24459,3115,75,1,88
18,MACHAKOS,33548,31726,1783,39,-,94
19,MAKUENI,20805,19462,1294,49,-,93
20,NYANDARUA,16247,15825,417,4,1,97
21,NYERI,16831,16614,204,13,-,98
22,KIRINYAGA,13638,13459,175,4,-,98
23,MURANG'A,24866,24332,529,5,-,97
24,KIAMBU,69596,67736,1818,42,-,97
25,TURKANA,24758,17782,6726,250,-,71
26,WEST POKOT,24511,16956,7441,114,-,69
27,SAMBURU,10665,7561,3080,24,-,70
28,TRANS NZOIA,29005,24817,4125,63,-,85
29,UASIN GISHU,32983,30932,1995,56,-,93
30,ELGEYO/MARAKWET,13212,12459,742,11,-,94
31,NANDI,23603,21137,2414,52,-,89
32,BARINGO,19697,16061,3567,69,-,81
33,LAIKIPIA,15383,13400,1969,14,-,87
34,NAKURU,64797,59771,4923,102,1,92
35,NAROK,40643,32520,7980,143,-,80
36,KAJIADO,36244,32319,3833,92,-,89
37,KERICHO,24383,22344,2007,32,-,91
38,BOMET,24647,22848,1752,47,-,92
39,KAKAMEGA,49974,46136,3774,64,-,92
40,VIHIGA,14329,13581,733,15,-,94
41,BUNGOMA,47722,43706,3936,80,-,91
42,BUSIA,25597,23344,2222,31,-,91
43,SIAYA,28260,26784,1433,43,-,94
44,KISUMU,34078,32296,1752,30,-,94
45,HOMABAY,34833,31723,3069,41,-,91
46,MIGORI,37118,33827,3228,63,-,91
47,KISII,32057,30419,1609,29,-,94
48,NYAMIRA,14114,13406,696,12,-,95
49,NAIROBI CITY,135229,131275,3851,103,-,97
