,County,Total,Male,Female
0,KENYA,20101,17747,2348
1,Rural,5520,4677,841
2,Urban,14581,13070,1507
3,MOMBASA,1809,1579,230
4,KWALE,206,198,8
5,KILIFI,305,265,40
6,TANA RIVER,133,106,27
7,LAMU,231,153,78
8,TAITA/TAVETA,66,49,17
9,GARISSA,139,122,17
10,WAJIR,125,97,28
11,MANDERA,82,62,20
12,MARSABIT,359,292,67
13,ISIOLO,-,-,-
14,MERU,734,702,32
15,THARAKA-NITHI,125,102,23
16,EMBU,427,399,28
17,KITUI,280,242,38
18,MACHAKOS,235,214,21
19,MAKUENI,250,220,30
20,NYANDARUA,23,23,-
21,NYERI,259,231,28
22,KIRINYAGA,147,141,6
23,MURANG'A,167,134,33
24,KIAMBU,626,570,56
25,TURKANA,386,336,50
26,WEST POKOT,248,214,34
27,SAMBURU,278,270,8
28,TRANS NZOIA,296,290,6
29,UASIN GISHU,669,616,53
30,ELGEYO/MARAKWET,19,18,1
31,NANDI,130,117,13
32,BARINGO,78,76,2
33,LAIKIPIA,221,211,10
34,NAKURU,629,572,57
35,NAROK,222,214,8
36,KAJIADO,637,583,54
37,KERICHO,68,63,5
38,BOMET,48,42,6
39,KAKAMEGA,219,212,7
40,VIHIGA,149,74,75
41,BUNGOMA,262,243,19
42,BUSIA,185,175,10
43,SIAYA,308,250,58
44,KISUMU,451,315,136
45,HOMA BAY,276,245,31
46,MIGORI,405,302,103
47,KISII,290,253,37
48,NYAMIRA,156,97,59
49,NAIROBI,6743,6064,679
